time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1993-12-09T09:35:44.190Z,0.215,125.743,33,4.8,mb,,,,1.2,us,usp00064wd,2014-11-07T00:54:34.739Z,"Molucca Sea",earthquake,,,,2,reviewed,us,us
1993-12-09T08:27:16.570Z,0.48,125.841,39.2,5.1,mb,,,,1.1,us,usp00064w8,2014-11-07T00:54:34.724Z,"Molucca Sea",earthquake,,11.5,,8,reviewed,us,us
1993-12-09T05:41:23.360Z,0.288,125.545,33,4.6,mb,,,,1,us,usp00064w7,2014-11-07T00:54:34.723Z,"Molucca Sea",earthquake,,,,5,reviewed,us,us
1993-12-09T05:33:11.820Z,0.39,125.914,33,5,mb,,,,0.9,us,usp00064w6,2014-11-07T00:54:34.721Z,"Molucca Sea",earthquake,,,,4,reviewed,us,us
1993-12-09T05:13:53.680Z,0.447,125.649,33,4.7,mb,,,,1.5,us,usp00064w5,2014-11-07T00:54:34.720Z,"Molucca Sea",earthquake,,,,1,reviewed,us,us
1993-12-09T04:32:19.520Z,0.486,125.995,14.5,6.9,mw,,,,1.2,us,usp00064w3,2016-11-10T00:54:29.809Z,"Molucca Sea",earthquake,,,,,reviewed,us,hrv
1993-12-08T23:37:13.330Z,-6.53,129.979,98.6,5.2,mb,,,,1,us,usp00064vu,2014-11-07T00:54:34.587Z,"Banda Sea",earthquake,,10.9,,20,reviewed,us,us
1993-12-08T20:52:54.400Z,-8.792,110.373,96.9,4.8,mb,,,,1.2,us,usp00064vt,2014-11-07T00:54:34.584Z,"Java, Indonesia",earthquake,,13.6,,10,reviewed,us,us
1993-12-08T19:43:45.420Z,-1.825,133.061,33,4.4,mb,,,,0.3,us,usp00064vr,2014-11-07T00:54:34.581Z,"Papua, Indonesia",earthquake,,,,3,reviewed,us,us
1993-12-07T23:55:54.340Z,-0.842,136.809,33,4.4,mb,,,,0.5,us,usp00064ud,2014-11-07T00:54:34.437Z,"Biak region, Indonesia",earthquake,,,,3,reviewed,us,us
1993-12-07T17:29:12.450Z,7.201,126.678,84,4.6,mb,,,,1.1,us,usp00064u5,2014-11-07T00:54:34.406Z,"Mindanao, Philippines",earthquake,,12.4,,8,reviewed,us,us
1993-12-07T16:27:25.570Z,0.73,122.702,77.9,5.6,mw,,,,1.1,us,usp00064u1,2020-01-03T18:54:15.212Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,,reviewed,us,hrv
1993-12-07T11:50:15.170Z,-2.445,139.9,16.6,5.1,mb,,,,1.1,us,usp00064tj,2014-11-07T00:54:34.322Z,"near the north coast of Papua, Indonesia",earthquake,,5.2,,26,reviewed,us,us
1993-12-07T11:15:27.630Z,-3.881,139.663,10,4.5,mb,,,,1.2,us,usp00064tg,2014-11-07T00:54:34.317Z,"Papua, Indonesia",earthquake,,,,1,reviewed,us,us
1993-12-07T03:27:33.510Z,-6.342,129.352,247.7,4.8,mb,,,,0.9,us,usp00064sy,2014-11-07T00:54:34.259Z,"Banda Sea",earthquake,,14.4,,1,reviewed,us,us
1993-12-06T21:55:57.120Z,-1.013,121.339,33,4.7,mb,,,,0.8,us,usp00064sm,2014-11-07T00:54:34.187Z,"Sulawesi, Indonesia",earthquake,,,,12,reviewed,us,us
1993-12-06T08:36:22.870Z,-5.982,130.68,123,5.1,mb,,,,1,us,usp00064rw,2014-11-07T00:54:33.942Z,"Banda Sea",earthquake,,6.6,,6,reviewed,us,us
